tvil_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
1435824,"Гостиница ""Ангара""",2026-05-02,300,12,20,4.0,4500.00
1265180,"Отель ""Байкал Бизнес Центр""",2026-05-02,59,6,16,10.17,7600.00
906031,"Гостиница ""Матрёшка""",2026-05-02,35,9,17,25.71,3906.00
1296851,"Гостиница ""Русь""",2026-05-02,56,9,21,16.07,4100.00
1328740,"Гостиница ""На Звездинской""",2026-05-02,30,6,12,20.0,5000.00
1889753,"Мини-отель ""Проспект""",2026-05-02,4,2,8,50.0,3700.00
1009170,"Апарт-отель ""Sokolov Hotel""",2026-05-02,30,10,38,33.33,3000.00
1490581,"Гостиница ""Юбилейная""",2026-05-02,23,9,15,39.13,2500.00
1298063,"Бутик-отель ""География""",2026-05-02,12,7,16,58.33,7300.00
1064267,"Мини-отель ""Nice People""",2026-05-02,6,1,2,16.67,3000.00
787596,"Гостиница ""Ochagof""",2026-05-02,23,4,12,17.39,5950.00
1372499,"Отель ""Байкал Хан Ольхон""",2026-05-02,37,4,10,10.81,12650.00
1277758,"Отель ""Гранд Байкал""",2026-05-02,64,3,9,4.69,6300.00
1000539,"Отель ""Маяк""",2026-05-02,75,7,13,9.33,6195.00
1487384,"Парк отель ""Уюга""",2026-05-02,58,10,38,17.24,4500.00
1892012,"Отель ""Подлеморье""",2026-05-02,14,7,15,50.0,5500.00
1851647,"Парк-Отель ""Шелест""",2026-05-02,8,4,8,50.0,5000.00
1690094,Гостиница Олимпиада,2026-05-02,25,4,7,16.0,1700.00
1655828,"Апарт-отель ""Светлый""",2026-05-02,6,3,6,50.0,4500.00
895518,"Гостиница ""Космос""",2026-05-02,16,8,24,50.0,2675.00
1609403,"Отель ""Иркут""",2026-05-02,30,9,16,30.0,3000.00
1508283,"Гостиница"" Аврора""",2026-05-02,7,6,15,85.71,2200.00
1491765,"Гостиница ""130Hotel""",2026-05-02,12,5,9,41.67,3500.00
1390225,"Гостиница ""Добрый Кот""",2026-05-02,10,8,21,80.0,800.00
1490199,Отель «Альпари»,2026-05-02,10,4,10,40.0,2400.00
1462849,"Гостиница ""7 дорог""",2026-05-02,19,0,0,0.0,
1467982,Гостиница,2026-05-02,5,0,0,0.0,
1441288,Отель Армат 4*,2026-05-02,40,0,0,0.0,
1343236,"Бутик-отель ""Аристократ""",2026-05-02,12,0,0,0.0,
1314294,"Гостиница ""Ангара-Приоритет""",2026-05-02,31,5,10,16.13,4500.00
1382100,"Гостиница ""У Истока""",2026-05-02,24,4,8,16.67,3400.00
1367731,"Отель ""Яковлевъ""",2026-05-02,25,6,13,24.0,3000.00
424345,"Гостиничный комплекс ""Лазурный берег""",2026-05-02,66,5,10,7.58,4500.00
1276636,"Парк-отель ""Бурдугуз""",2026-05-02,69,5,15,7.25,19500.00
1296594,"Отель ""Тайга""",2026-05-02,44,11,27,25.0,4600.00
1265779,"Отель ""Клубный Квартал""",2026-05-02,48,5,10,10.42,3500.00
946962,"Отель ""Лотос""",2026-05-02,21,8,19,38.1,1100.00
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",2026-05-02,15,8,14,53.33,5200.00
1032271,"Отель ""Даурия""",2026-05-02,15,4,10,26.67,5500.00
904225,"Отель ""Михаил Строгов""",2026-05-02,21,10,18,47.62,4500.00
425543,"Отель ""Звезда""",2026-05-02,64,6,14,9.38,5200.00
1367592,"Отель ""Атлас""",2026-05-02,28,10,24,35.71,3700.00
2063101,"Гостиница ""Азия-Европа""",2026-05-02,19,9,18,47.37,4000.00
1472664,"Гостиница ""Байкал Форест""",2026-05-02,76,8,22,10.53,5800.00
1390108,"Гостиница  ""Воробьевы горы""",2026-05-02,11,6,25,54.55,11000.00
1378154,"Гостиница ""Байкал - Северное море""",2026-05-02,120,14,34,11.67,4500.00
1632075,"Отель"" Арбат""",2026-05-02,11,7,12,63.64,4390.00
2032078,Гостиница «Усадьба Егорова»,2026-05-02,10,7,17,70.0,4700.00
1785783,"Отель ""Белый Берег""",2026-05-02,5,2,8,40.0,9500.00
2036706,"Отель ""Магистраль""",2026-05-02,21,9,25,42.86,3100.00
1993192,"Парк-отель ""Алтан""",2026-05-02,21,8,24,38.1,12500.00
1979910,"Отель""NUUR HOTEL""",2026-05-02,28,5,12,17.86,6500.00
1899852,Отель «Байкал-Аляска»,2026-05-02,24,4,8,16.67,9500.00
1802586,"Гостиница ""BAIKAL VIEW""",2026-05-02,99,2,4,2.02,10764.00
1345611,Гостиница,2026-05-02,29,0,0,0.0,
1335449,Отель Амурский,2026-05-02,17,0,0,0.0,
1129766,"Доходный дом ""М.А. Листратовой""",2026-05-02,15,0,0,0.0,
898794,"Бутик-отель ""Маруся""",2026-05-02,14,6,14,42.86,6510.00
767249,"Отель ""Купеческий Дворъ""",2026-05-02,14,10,30,71.43,6700.00
1019043,"Гостиница ""Спектр""",2026-05-02,14,4,10,28.57,2800.00
2112642,"Гостиница ""Автовокзал""",2026-05-02,22,7,12,31.82,2600.00
2110558,"Гостиница ""Малый отель""",2026-05-02,11,9,16,81.82,4500.00
1367536,"Отель ""Санаторий Солнечный""",2026-05-02,125,4,8,3.2,4350.00
